0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.710502341469319121e-01,-1.481138747235877517e-01,1.792906922213848703e-02
5.200546076999674749e-01,-2.864165520320269831e-01,3.144833650063150188e-02
7.724779653839639604e-01,-4.294216252321674809e-01,4.187005542396604607e-02
1.056431366877156108e+00,-5.909839688851871164e-01,5.204761481602122181e-02
1.320873468683406493e+00,-7.402291626113651768e-01,6.187420978808388233e-02
1.590686988525841894e+00,-8.928170620324260565e-01,7.194492895852967751e-02
1.902242812566337760e+00,-1.062844314803612411e+00,8.869896877658367540e-02
2.199649938546460515e+00,-1.220004799980151322e+00,1.052393723823886462e-01
2.506460980091568036e+00,-1.372646136300537334e+00,1.192162795108227674e-01
2.857312523183783259e+00,-1.542153400724983525e+00,1.354667038824780290e-01
3.188675466814082871e+00,-1.695867780470019071e+00,1.513814242856714454e-01
3.532111154134504716e+00,-1.843397148545754094e+00,1.692034686837330104e-01
3.926129305683069948e+00,-1.990778550963936855e+00,1.903061004969994752e-01
4.299154254465769931e+00,-2.121498049870379710e+00,2.104779373705770729e-01
4.725639561952160506e+00,-2.263113214443712717e+00,2.316262684297636099e-01
5.126807701274639584e+00,-2.394095653303808025e+00,2.512944902165868410e-01
5.541500882645293835e+00,-2.526045380476550140e+00,2.696351589185750908e-01
6.014927473042883221e+00,-2.670572504535807745e+00,2.888607447996735522e-01
6.459240148598048847e+00,-2.798493562672944357e+00,3.084525406503533240e-01
6.963019870337046058e+00,-2.944476348830618484e+00,3.309128841245941310e-01
7.434250524844518537e+00,-3.079396472017974506e+00,3.557535977900187496e-01
7.918919021974181405e+00,-3.216869983943297040e+00,3.830814399976596452e-01
8.465585140725885083e+00,-3.363341470969962277e+00,4.128200432098490524e-01
8.978233507626649512e+00,-3.493004378007510624e+00,4.375232520686474502e-01
9.552534592710049566e+00,-3.636216519635123490e+00,4.740671394850798359e-01
1.008098295077062190e+01,-3.769768531498950637e+00,5.171723299210005953e-01
1.062121642221586804e+01,-3.903259191960002816e+00,5.580344114663876587e-01
1.122818793797787507e+01,-4.043867393965083323e+00,5.999644385310811678e-01
1.179735756944973524e+01,-4.167259213930229578e+00,6.399108432117006640e-01
1.243649275285289768e+01,-4.302451493114878289e+00,6.836412312523385548e-01
1.303251187846933945e+01,-4.420722115704504240e+00,7.205662319143875116e-01
1.364290098607889234e+01,-4.538063342243976450e+00,7.548513742396241177e-01
1.433186987641211196e+01,-4.665383653624567195e+00,8.027928900391044786e-01
1.496833500744133616e+01,-4.780739755378357714e+00,8.500325573011763280e-01
1.568366082325630728e+01,-4.905931233405842029e+00,9.166201013660175700e-01
1.634383406749067547e+01,-5.011435574963424955e+00,9.852218803006257408e-01
1.701656529288242226e+01,-5.112342607090836211e+00,1.063085644589799594e+00
1.776899040074159686e+01,-5.219534839516622782e+00,1.154865126778383155e+00
1.846662337581632229e+01,-5.316558861331777130e+00,1.243577666789769776e+00
1.924506186197259083e+01,-5.421441937259783295e+00,1.348937221204991710e+00
1.996316210530098090e+01,-5.519181484713852726e+00,1.451992794925155206e+00
2.069070019036154306e+01,-5.613813066272320462e+00,1.556314739207437237e+00
2.150191810479875087e+01,-5.713159885819194095e+00,1.671332724283360660e+00
2.248222319525759616e+01,-5.823357742966571493e+00,1.814212553196680622e+00
2.309530368339913053e+01,-5.879304673075588461e+00,1.908601183677107960e+00
2.386821865779038276e+01,-5.946826784224567675e+00,2.021482802253918187e+00
